Source,Target,weight
Prasara,Abimanyu,2.0
Karna,Antareja,3.0
Baladewa,Antareja,8.0
Dewaki,JayaBajra,1.0
Sri,Baladewa,2.0
Kalika,Tambrapeta,1.0
Arimbi,Gendari,1.0
Suparta,Duryudana,1.0
Durna,Pulunggana,1.0
Surya,Kresna,1.0
Karna,Angganjali,1.0
Setyaboma,Indra,1.0
Gatotkaca,Ramayadi,2.0
Surtikanthi,Basudewa,1.0
Pandu,Gendara,2.0
Rukmara,Narada,1.0
Werkudara,Puntadewa,35.0
Bismaka,Werkudara,2.0
Durna,Rukmini,2.0
Gareng,Rohini,1.0
Sadewa,Bantala,1.0
Guru,Duryudana,5.0
Karna,Ramaparasu,1.0
Samba,Wisnu,1.0
Durna,Yudhistira,1.0
Mahadewa,Arjuna,1.0
Gareng,Bagaspati,1.0
Duryudana,Wilawuk,1.0
Duryudana,Ranu,1.0
Bagong,Destarastra,1.0
Petruk,Togog,4.0
Guru,Dersanala,3.0
Druwasa,Salya,1.0
Kunti,Nakula,6.0
Karna,Togog,3.0
Karna,Wisanggeni,3.0
Guru,Rudra,1.0
Gareng,Sekipu,1.0
Antareja,Drupadi,1.0
Gareng,TunggulWulung,1.0
Bilung,Abimanyu,2.0
Rukmini,Panyarikan,1.0
Arimbi,Wilawuk,3.0
Angganjali,Semar,1.0
Pulungsari,Petruk,1.0
Puntadewa,Bhisma,1.0
Barata,Kartamarma,1.0
Gareng,Kartamarma,5.0
Semar,Pracona,1.0
Gendara,NgembatLandeyan,1.0
Samba,Nakula,4.0
Arjuna,Citrasena,2.0
Durna,Suparta,1.0
Bagong,Pujawati,2.0
Nakula,Brahma,2.0
Sengkuni,Kresna,16.0
Maerah,Kangsa,2.0
Nagatatmala,Duryudana,2.0
Bendana,Yudhistira,3.0
Wibisana,Kresna,1.0
Rukmini,Godhayitma,1.0
Semar,Resi,1.0
FakeWerkudara,Baladewa,1.0
Kartamarma,Kresna,10.0
Bagong,Petruk,36.0
Drupadi,Kresna,1.0
Garuda,Narada,1.0
Wisanggeni,Duryudana,2.0
Wisnu,Yudhistira,1.0
Wisnu,Pracona,1.0
Rukmini,Durga,1.0
Puntadewa,Dersanala,1.0
Samba,Karna,2.0
Sugriwa,Arjuna,1.0
Mandrakeswara,Basudewa,1.0
Kunti,Gendari,3.0
Bendana,Kartamarma,1.0
Bismaka,KudaKalaKresna,1.0
Semar,Nagatatmala,1.0
Karna,Lion,1.0
Iswara,Semar,1.0
Durna,Durga,3.0
Bismaka,Badrahini,2.0
Banowati,KencanaWulan,1.0
Guru,Sri,2.0
Dewasrani,Duryudana,1.0
Nakula,Arimbi,4.0
YudaKothi,Erawati,1.0
Sengkuni,Setyaki,3.0
Salya,Nagaprasanta,1.0
Ugrasena,Pragota,1.0
Sadana,Anoman,2.0
Gareng,Dhamdharat,1.0
SuratiMantra,Badrahini,1.0
Pandu,Indra,1.0
Sadana,Indra,1.0
Kartamarma,Brajamusthi,1.0
Guru,Sengkuni,4.0
Kurandhayaksa,Surtikanthi,2.0
Antakawulan,Puntadewa,2.0
Abiyasa,Asmarawati,1.0
Pragota,Petruk,1.0
Samba,Abimanyu,7.0
Antakawulan,Werkudara,2.0
Madrim,Yamawidura,1.0
Bagong,Rohini,1.0
Pradapa,Arjuna,2.0
Dewasrani,Semar,2.0
Sengkuni,Wisanggeni,2.0
Asmarawati,Dhamdharat,2.0
Panyarikan,Iswara,1.0
Rama,Kartamarma,1.0
Semar,Drestarastra,1.0
Banowati,Citrarata,1.0
