label,degree,weighted degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Kumbakarna,23,31.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.26775340870617137
Kunti,56,132.0,0.6186440677966102,0.6917808219178082,78.48951307577813,5,0,0.5493506493506494,846,0.48817081937324386
Kuntiboja,23,30.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730987
Kurandhayaksa,24,30.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460517
Lesmana_Mandrakumara,38,92.0,0.5748031496062992,0.6301369863013698,3.490166746636904,6,0,0.887624466571835,624,0.45528844663477247
Lesmana_Murdaka,27,46.0,0.5509433962264151,0.5924657534246576,0.0,0,0,1.0,351,0.34896000316359377
Madrim,23,40.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730995
Maerah,31,59.0,0.5593869731800766,0.6061643835616438,4.9074698779033135,5,0,0.843010752688172,392,0.2582289023215744
Mandrakeswara,23,29.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730993
Mangsahpati,30,49.0,0.5572519083969466,0.6027397260273972,4.014037371534435,0,0,0.8551724137931035,372,0.3465788726611029
Maruta,23,34.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2677534087061714
Nagagini,22,31.0,0.5407407407407407,0.5753424657534246,0.0,3,0,1.0,231,0.2873009914256523
Nagaprasanta,24,26.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460517
Nagatatmala,22,35.0,0.5407407407407407,0.5753424657534246,0.0,3,0,1.0,231,0.2873009914256523
Nakula,108,490.0,0.7934782608695652,0.8698630136986302,254.58604128946783,0,0,0.37590861889927313,2172,0.8764158972478915
Narada,91,343.0,0.7263681592039801,0.8116438356164384,200.45450177312242,4,0,0.4332112332112332,1774,0.7727035161153494
Nembur_Nawa,17,19.0,0.5309090909090909,0.5582191780821918,0.0,0,0,1.0,136,0.22474751844908147
NgembatLandeyan,23,24.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730984
Padmanaba,23,25.0,0.5427509293680297,0.5787671232876712,0.0,4,0,1.0,253,0.3023150429517944
Pancawala,23,24.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992446
Pandu,36,79.0,0.5703125,0.6232876712328768,18.597510072101723,5,0,0.7015873015873015,442,0.2767913073174773
Panyarikan,36,56.0,0.5703125,0.6232876712328768,6.105147632137318,4,0,0.8317460317460318,524,0.4097342030104418
Parasara,31,48.0,0.5593869731800766,0.6061643835616438,0.6419183929060399,6,0,0.9634408602150538,448,0.40502844027034396
Petruk,124,536.0,0.8690476190476191,0.9246575342465754,532.3728924980396,5,0,0.3181222134801993,2426,0.9304434935811929
Pracona,24,37.0,0.5447761194029851,0.5821917808219178,0.0,4,0,1.0,276,0.28507705345507933
Pradapa,23,36.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992446
Pragota,24,25.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460517
Pujawati,23,29.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730987
Pulunggana,28,40.0,0.553030303030303,0.5958904109589042,0.0,4,0,1.0,378,0.37730615810780055
